tmdb_id,title,release_date,year,overview,vote_average,vote_count,popularity,poster_path
76600,Avatar: The Way of Water,2022-12-14,2022,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",7.61,13103,30.0626,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg
1280450,Stolen Girl,2025-09-04,2025,"In 1993, Maureen’s six-year-old daughter Amina is snuck out of the country by her ex-husband, Karim. After years of unsuccessful attempts to find her, Maureen intersects with a professional retriever of internationally abducted children who promises to help her find Amina in exchange for her collaboration.",6.5,91,27.6653,/fZlNXEHZsBp7unqw009MeBbMv87.jpg
1166133,Bramayugam,2024-02-15,2024,"A folk singer in 17th-century Kerala discovers a mansion. Inside, he encounters an enigmatic cook and a powerful master, setting in motion a chain of events that changes his life.",7.59,61,66.5945,/snQLwRrfQAl5YFKVefZq9Lbscki.jpg
1010756,The Strangers: Chapter 2,2025-09-25,2025,"When The Strangers learn that one of their victims, Maya, is still alive, they return to finish what they’ve started.",6.073,151,28.6384,/aEk9jLbiKTVssdATbrF879NvyyJ.jpg
372058,Your Name.,2016-08-26,2016,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",8.48,12132,26.8365,/q719jXXEzOoYaps6babgKnONONX.jpg
1284120,The Ugly Stepsister,2025-03-07,2025,"In a fairy-tale kingdom where beauty is a brutal business, Elvira battles to compete with her incredibly beautiful stepsister, and she will go to any length to catch the prince’s eye.",7.346,719,26.7342,/rayAREIKtSinuov10GvrZHyXfXH.jpg
552524,Lilo & Stitch,2025-05-17,2025,The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.,7.249,1863,26.6134,/ckQzKpQJO4ZQDCN5evdpKcfm7Ys.jpg
1257009,Primitive War,2025-08-21,2025,"During the Vietnam War, a recon unit ventures to an isolated jungle valley to uncover the fate of a missing platoon. They soon find themselves in a fight for their lives against an unexpected enemy — prehistoric dinosaurs.",6.8,175,26.3776,/7eKt7FpNgSGCKnwyeOnlC7usf2V.jpg
474350,It Chapter Two,2019-09-04,2019,"27 years after overcoming the malevolent supernatural entity Pennywise, the former members of the Losers' Club, who have grown up and moved away from Derry, are brought back together by a devastating phone call.",6.838,9269,25.5335,/zfE0R94v1E8cuKAerbskfD3VfUt.jpg
950387,A Minecraft Movie,2025-03-31,2025,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",6.347,2540,26.9255,/yFHHfHcUgGAxziP1C3lLt0q2T4s.jpg
1035259,The Naked Gun,2025-07-30,2025,"Only one man has the particular set of skills... to lead Police Squad and save the world: Lt. Frank Drebin Jr. Following in his father's footsteps, he must solve a murder case to prevent Police Squad from closure.",6.504,1132,25.7406,/rmwQ8GsdQ1M3LtemNWLErle2nBU.jpg
1022787,Elio,2025-06-18,2025,"Elio, a space fanatic with an active imagination, finds himself on a cosmic misadventure where he must form new bonds with eccentric alien lifeforms, navigate a crisis of intergalactic proportions and somehow discover who he is truly meant to be.",6.98,688,26.7611,/7z8jDiTZZco9moIKpTUImFtTy7o.jpg
1022789,Inside Out 2,2024-06-11,2024,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",7.551,6282,26.3244,/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg
1241982,Moana 2,2024-11-21,2024,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",7.025,2807,26.08,/aLVkiINlIeCkcZIzb7XHzPYgO6L.jpg
346364,It,2017-09-06,2017,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.",7.238,19841,27.1943,/9E2y5Q7WlCVNEhP5GiVTjhEhx1o.jpg
541671,Ballerina,2025-06-04,2025,"Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.",7.3,2013,26.0225,/2VUmvqsHb6cEtdfscEA6fqqVzLg.jpg
